DATAFLOW,LAST UPDATE,freq,quantile,indic_il,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2019,3.9,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2020,3.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2021,4.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2022,3.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2023,4.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2024,4.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2015,2.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2016,1.8,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2017,1.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2018,2.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2019,2.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2020,2.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2021,2.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2022,2.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2023,2.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Bulgaria,2024,2.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2015,3.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2016,3.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2017,3.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2018,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2019,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2020,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2021,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2022,3.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Switzerland,2023,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2015,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2016,3.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2017,3.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2018,3.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2019,3.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2020,3.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2021,3.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2022,3.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Cyprus,2023,3.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2015,4.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2016,4.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2017,4.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2018,4.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2019,4.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2020,4.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2021,4.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2022,4.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Czechia,2023,4.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2015,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2016,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2017,3.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2018,2.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2019,2.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2020,2.9,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2021,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2022,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2023,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Germany,2024,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2015,3.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2016,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2017,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2018,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2019,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2020,3.4,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2021,3.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2022,3.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2023,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Denmark,2024,3.4,,
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2015,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2016,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2017,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2018,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2019,2.8,,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2020,2.9,b,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"",2021,2.9,,"
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 18 countries (2014),2015,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 18 countries (2014),2016,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 18 countries (2014),2017,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 18 countries (2014),2018,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 18 countries (2014),2019,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 18 countries (2014),2020,2.9,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2015,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2016,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2017,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2018,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2019,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2020,2.9,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area - 19 countries  (2015-2022),2021,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2015,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2016,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2017,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2018,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2019,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2020,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2021,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2022,3.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Euro area – 20 countries (from 2023),2023,3.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2015,2.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2016,2.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2017,2.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2018,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2019,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2020,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2021,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2022,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2023,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Estonia,2024,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2015,1.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2016,2.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2017,2.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2018,2.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2019,2.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2020,2.6,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2021,2.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2022,2.6,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Greece,2023,2.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2015,1.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2016,2.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2017,1.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2018,2.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2019,2.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2020,2.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2021,2.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2022,2.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2023,2.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Spain,2024,2.4,,
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"",2015,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"",2016,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"",2017,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"",2018,2.8,e,"
"ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,""European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"",2019,2.8,e,"
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (2007-2013),2015,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (2007-2013),2016,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (2007-2013),2017,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (2007-2013),2018,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (2007-2013),2019,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2015,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2016,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2017,2.9,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2018,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2019,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2020,2.9,b,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2021,2.9,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2022,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 27 countries (from 2020),2023,3.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 28 countries (2013-2020),2015,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 28 countries (2013-2020),2016,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 28 countries (2013-2020),2017,2.8,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 28 countries (2013-2020),2018,2.8,e,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,European Union - 28 countries (2013-2020),2019,2.8,e,
